,ga_hostname,ga_pagePath,ga_pageTitle,ga_landingPagePath,ga_secondPagePath,ga_exitPagePath,ga_pageDepth,ga_pageValue,ga_entrances,ga_entranceRate,ga_pageviews,ga_uniquePageviews,ga_exits,ga_exitRate
69,ga.kpim.vn,/cart/,Cart - Google Analytics,/cart/,/shop/,/,50,0.0,1.0,50.0,2.0,1.0,0.0,0.0
70,ga.kpim.vn,/cart/,Cart – GA,/,/,/,9,0.0,0.0,0.0,1.0,1.0,0.0,0.0
71,ga.kpim.vn,/cart/,Cart – GA,/,/wpadmin,/,12,0.0,0.0,0.0,2.0,1.0,0.0,0.0
72,ga.kpim.vn,/checkout/,Checkout -,/,/,/,19,0.0,0.0,0.0,2.0,1.0,0.0,0.0
73,ga.kpim.vn,/checkout/,Checkout -,/,/,/,42,0.0,0.0,0.0,1.0,1.0,0.0,0.0
74,ga.kpim.vn,/checkout/,Checkout -,/,/,/,7,0.0,0.0,0.0,1.0,1.0,0.0,0.0
75,ga.kpim.vn,/checkout/,Checkout -,/,/cart/,/checkout/order-received/116/?key=wc_order_4MtnpSB33fkV8,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0
76,ga.kpim.vn,/checkout/,Checkout -,/,/cart/,/checkout/order-received/121/?key=wc_order_GjfAC3QGWioUM,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0
77,ga.kpim.vn,/checkout/,Checkout -,/,/product/dich-vu-tu-van-giai-phap/,/shop/,9,0.0,0.0,0.0,2.0,1.0,0.0,0.0
78,ga.kpim.vn,/checkout/,Checkout -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
79,ga.kpim.vn,/checkout/,Checkout -,/product/power-bi-embedded/,/,/checkout/,19,0.0,0.0,0.0,2.0,1.0,1.0,50.0
80,ga.kpim.vn,/checkout/,Checkout - Google Analytics,/cart/,/shop/,/,50,0.0,0.0,0.0,1.0,1.0,0.0,0.0
81,ga.kpim.vn,/checkout/?customize_changeset_uuid=e97e55ea-dc49-4827-b4fa-52e2514001e3&customize_theme=twentytwentytwo&customize_messenger_channel=preview-1,Checkout – GA,/,/,/cart/,25,0.0,0.0,0.0,1.0,1.0,0.0,0.0
82,ga.kpim.vn,/checkout/order-received/111/?key=wc_order_H6sd7IIRsLfCo,Checkout -,/,/,/,42,0.0,0.0,0.0,1.0,1.0,0.0,0.0
83,ga.kpim.vn,/checkout/order-received/116/?key=wc_order_4MtnpSB33fkV8,Checkout -,/,/cart/,/checkout/order-received/116/?key=wc_order_4MtnpSB33fkV8,4,0.0,0.0,0.0,1.0,1.0,1.0,100.0
84,ga.kpim.vn,/checkout/order-received/117/?key=wc_order_5uxjB9YK1QOui,Checkout -,/,/,/,19,0.0,0.0,0.0,1.0,1.0,0.0,0.0
85,ga.kpim.vn,/checkout/order-received/119/?key=wc_order_5Vg9ffn89K5b0,Checkout -,/,/,/,19,0.0,0.0,0.0,1.0,1.0,0.0,0.0
